District,Cattle,Sheep,Goats,Camels,Donkeys,Pigs,Indigenous Chicken,Chicken Commercial,Bee Hives,Totals,County,Lat,Long
IMENTI NORTH,84555,72865,46724,49,2371,4320,212865,49956,10158,483863,Meru,0.083380846,37.43552549
IMENTI SOUTH,54240,15755,40921,4,409,1822,123687,35025,17377,289240,Meru,-0.122681965,37.60133849
ISIOLO,101525,152164,166549,9957,11874,115,20261,5696,1012,469153,Isiolo,1.255057085,38.46170147
KAJIADO CENTRAL,95534,218961,270148,472,31564,355,39657,7453,2680,666824,Kajiado,-2.133910157,36.89341002
KAJIADO NORTH,151295,314080,236790,991,2113,5321,150216,257367,3486,1121659,Kajiado,-1.646437311,36.44660994
KAKAMEGA CENTRAL,65044,12219,12864,2004,785,2705,277667,23486,1479,398253,Kakamega,0.350512813,34.6856109
KAKAMEGA EAST,43994,7662,3450,0,458,6198,154080,11131,2799,229772,Kakamega,0.273804872,34.85789384
KAKAMEGA NORTH,63536,10644,11670,4,991,567,214560,9276,2634,313882,Kakamega,0.473620028,34.82641205
KAKAMEGA SOUTH,29661,4793,1814,2,193,6123,117054,4551,639,164830,Kakamega,0.190561619,34.7077479
KALOLENI,54501,10424,105773,0,826,532,158360,24463,1441,356320,Kilifi,-3.768179495,39.54477529
KANGUNDO,71168,33887,85250,3,1256,820,188423,29678,4248,414733,Machakos,-1.237582196,37.27203719
KEIYO,97350,89881,64177,4,2737,393,166025,16567,27682,464816,Elgeyo Marakwet,0.489045271,35.57039657
KERICHO,130712,16000,46176,2,9070,490,237377,33681,2720,476228,Kericho,-0.34219841,35.21130866
KIAMBU EAST(KIAMBAA),28767,11057,10459,110,1028,9885,91032,185126,2909,340373,Kiambu,-1.158558742,36.80546766
KIAMBU WEST,22484,19745,5765,0,3444,1260,61827,186631,913,302069,Kiambu,-1.139177531,36.62625892
KIBWEZI,64791,29657,253037,2,4826,444,180986,12114,32905,578762,Makueni,-2.468788914,38.02538524
KIKUYU,32758,17304,9499,0,3381,18820,110976,399043,1379,593160,Kiambu,-1.236882983,36.63360077
KILIFI,66502,17440,193040,6,1029,1435,276720,115548,1746,673466,Kilifi,-3.494969907,39.60114414
KILINDINI,4509,1397,14397,1,917,438,44182,79450,535,145826,Mombasa,-4.0383,39.6365
KINANGO,84133,46081,170326,552,723,120,129011,6619,1991,439556,Kwale ,-3.96233059,39.10335046
KIPKELION,88104,35276,26783,0,10503,250,172350,10129,10020,353415,Kericho,-0.155533799,35.47881562
KIRINYAGA,144112,27642,101596,7,3990,10606,465455,82458,10227,846093,Kirinyaga,-0.519266797,37.32018369
KISII CENTRAL,77353,5427,28433,0,931,670,270754,47631,1386,432585,Kisii,-0.589287405,34.79181187
KISII SOUTH,25627,788,7930,0,118,140,93509,12192,185,140489,Kisii,-0.664610487,34.6895693
KISUMU EAST,79369,36552,58628,5,953,2559,285087,81850,954,545957,Kisumu,-0.103412297,34.80473358
KISUMU WEST,50329,16670,35594,2,813,529,176289,12245,291,292762,Kisumu,-0.087587476,34.53285818
KITUI,138576,17395,381149,24,48647,574,370942,31868,105781,1094956,Kitui,-1.392710301,38.30094003
KOIBATEK,96952,67988,100644,6,8228,174,145569,20700,22805,463066,Baringo,0.105862677,35.86953085
KURIA EAST,48004,15322,31684,0,1256,228,138434,11684,2446,249058,Migori,-1.279753411,34.65699509
KURIA WEST,84830,15060,43929,0,839,808,283475,19365,2031,450337,Migori,-1.18554383,34.51983447
KWALE,32903,4771,58873,1,269,89,117353,36703,517,251479,Kwale ,-4.221293887,39.40753681
KWANZA,53090,48151,15006,29,3462,1316,181888,12850,2484,318276,Trans Nzoia,1.134996095,34.85810469
KYUSO,53660,27593,175228,1190,25863,113,78526,3371,84514,450058,Kitui,-0.440861626,38.27042885
LAGDERA,197846,489282,561883,104992,33568,16,19710,4020,439,1411756,Garissa,0.288065622,39.89717479
LAIKIPIA EAST,55695,105048,46454,22,2374,1209,125100,22197,3972,362071,Laikipia,0.093934415,36.95183375
