record_number,justified_permit,county_name,well_elevation,total_depth,latitude83,longitude83,original_result,deepest_pay,date_completed
37449,38879,Johnson     ,960,870,37.977106,-82.982528,OIL,339BREA                            ,9-Jan-81
37831,,Lawrence    ,680,850,38.016755,-82.900059,OIL,339BREA                            ,20-Jul-20
43586,,Johnson     ,840,848,37.946705,-82.89948,GAS,339BREA                            ,
45943,,Johnson     ,920,848,37.960351,-82.89237,GAS,339BREA                            ,2-Sep-26
87037,,Johnson     ,900,841,37.957779,-82.914386,GAS,330MSSP                            ,
45338,64942,Lawrence    ,700,837,38.020599,-82.927597,OIL,337WEIR                            ,4-Oct-84
47173,2141EF ,Johnson     ,764,725,37.864058,-82.951039,OIL,337WEIR                            ,23-Jul-54
43147,,Johnson     ,925,718,37.973807,-82.919303,GAS,337WEIR                            ,
36482,,Johnson     ,730,715,37.868817,-82.957548,OIL,339BREA                            ,31-Dec-22
46028,,Johnson     ,821,712,37.86765,-82.979325,OIL,337WEIR                            ,30-Apr-22
11209,51689,Johnson     ,875,693,37.857945,-82.991015,OIL,337WEIR                            ,29-Sep-82
