AKGWA_NUMBER,Lat83,Long83,County,Construction_Date,Primary_Use,Surface_Elevation,Total_Depth
40003047,3847961.8,5783695.94,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,62
80013318,4169172.89,5729529.12,Greenup,3/8/1994,MONITORING WELL - AMBIENT MONITORING,550,62.5
60000290,3893560.36,5840554.55,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,63
00013186,4089156.25,5766789.04,Greenup,1/1/1900,DOMESTIC - SINGLE HOUSEHOLD,720,65
00032516,4131638.77,5723365.83,Greenup,1/1/2000,DOMESTIC - SINGLE HOUSEHOLD,590,65
30002996,3971537.41,5819161.33,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,65
30005450,3897818.39,5720599.22,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,65
30005464,3914820.4,5803972.36,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,65
30005705,3961662.63,5738258.12,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,65
40000812,3838331.59,5760802.84,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,65
40001415,3837219.78,5760837.49,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,65
30002172,3893846.48,5838029.79,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,66
50000792,4103897.84,5767944.45,Greenup,,INDUSTRIAL,537,66
30002738,3842193.91,5721761.86,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,67
30006165,3948386.65,5743699.18,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,67
30002629,3894249.63,5737602.15,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,68
30005931,3931544.97,5757460.51,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,68
30006145,3909569.1,5715175.39,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,68
40003291,4103903.74,5764923.17,Greenup,,DOMESTIC - SINGLE HOUSEHOLD,540,68
30000570,3889687.85,5849565.05,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,69
40002074,3854535.95,5751474.19,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,69
40005687,3824570.64,5776892.45,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,69
30001131,3836497.04,5729818.72,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,70
30004470,3830276.47,5752839.63,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,70
40001643,3852797.31,5750886.39,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,70
40003452,3822646.46,5780006.52,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,70
