AKGWA_NUMBER,Lat83,Long83,County,Construction_Date,Primary_Use,Surface_Elevation,Total_Depth
40004012,3901910.13,5847959.64,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,90
00048652,4163266.93,5718290.48,Greenup,1/1/1992,DOMESTIC - SINGLE HOUSEHOLD,535,92
00047179,4163372.87,5718445.73,Greenup,1/1/1900,DOMESTIC - SINGLE HOUSEHOLD,530,93
60000301,3927351.86,5740270.57,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,95
00052626,3938151.69,5831476.44,Lawrence,1/1/1980,DOMESTIC - SINGLE HOUSEHOLD,620,96
30002298,3850950.49,5811472.96,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,96
30002363,3880394.1,5807324.95,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,96
40001714,3835929.09,5777656.34,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,96
00047180,4163380,5718683.58,Greenup,1/1/1982,DOMESTIC - SINGLE HOUSEHOLD,530,98
40003289,4103022.81,5765904.98,Greenup,,DOMESTIC - SINGLE HOUSEHOLD,540,98
60000475,3806583.38,5808968.55,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,99.5
00032501,4053654.11,5754616.7,Greenup,1/1/1967,DOMESTIC - SINGLE HOUSEHOLD,580,100
00044068,3892252.55,5814766.94,Lawrence,4/3/1996,DOMESTIC - SINGLE HOUSEHOLD,600,100
30000520,3862400.74,5749106.04,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,100
30005485,3959990.44,5814829.24,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,100
30006606,3998255.82,5807517.88,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,100
30009718,3844267.02,5807677.59,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,100
30009750,3855486.96,5769272.8,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,100
40007134,3844418.47,5764545.26,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,100
60000287,3926663.76,5730931.2,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,100
60000465,3887733.92,5721770.35,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,100
